BENCH: alexnet
TOP: 1
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000710, 0.00000034, 10, 0.02, 0.00000710, 0.00000034, 1, 0.00000710, 0.00000034, 1, 1.00, 1.00
1, 0.00662384, 0.00004206, 41, 0.18, 0.00662384, 0.00004206, 1, 0.00050548, 0.00000150, 389, 1.00, 0.08
2, 0.00003445, 0.00000098, 40, 0.07, 0.00003502, 0.00000232, 1, 0.00000545, 0.00000002, 3, 1.02, 0.16
3, 0.00558748, 0.00000587, 100, 0.59, 0.00677254, 0.00000969, 1, 0.00168240, 0.00000207, 1494, 1.21, 0.30
4, 0.00002445, 0.00000008, 35, 0.09, 0.00002445, 0.00000008, 1, 0.00000479, 0.00000001, 13, 1.00, 0.20
5, 0.00275011, 0.00001536, 87, 0.48, 0.00358504, 0.00000495, 1, 0.00081104, 0.00000210, 642, 1.30, 0.29
6, 0.00227030, 0.00002346, 100, 0.50, 0.00466660, 0.00001111, 1, 0.00117272, 0.00000157, 1048, 2.06, 0.52
7, 0.00345726, 0.00002522, 100, 0.57, 0.00500551, 0.00000573, 1, 0.00077143, 0.00000115, 597, 1.45, 0.22
8, 0.00000397, 0.00000003, 67, 0.28, 0.00000721, 0.00000002, 1, 0.00000361, 0.00000001, 25, 1.82, 0.91
9, 0.00000160, 0.00000003, 17, 0.07, 0.00000353, 0.00000000, 1, 0.00000330, 0.00000000, 25, 2.20, 2.07
10, 0.00000357, 0.00000002, 14, 0.04, 0.00000678, 0.00000000, 1, 0.00000678, 0.00000000, 1, 1.90, 1.90
11, 0.00489009, 0.00011861, 1, 0.32, 0.00489009, 0.00011861, 1, 0.00419662, 0.00000120, 2630, 1.00, 0.86
12, 0.00220067, 0.00014921, 1, 0.20, 0.00220067, 0.00014921, 1, 0.00156610, 0.00000054, 1051, 1.00, 0.71
13, 0.00030920, 0.00001404, 1, 0.12, 0.00030920, 0.00001404, 1, 0.00004314, 0.00000012, 54, 1.00, 0.14
14, 0.00001879, 0.00000189, 37, 0.05, 0.00001879, 0.00000189, 1, 0.00000746, 0.00000000, 47, 1.00, 0.40
TOP: 10
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000710, 0.00000034, 10, 0.02, 0.00000710, 0.00000034, 1, 0.00000710, 0.00000034, 1, 1.00, 1.00
1, 0.00137414, 0.00002696, 84, 0.26, 0.00150111, 0.00011953, 8, 0.00050548, 0.00000150, 389, 1.09, 0.37
2, 0.00000545, 0.00000002, 16, 0.03, 0.00000545, 0.00000002, 3, 0.00000545, 0.00000002, 3, 1.00, 1.00
3, 0.00220984, 0.00001198, 95, 0.65, 0.00367238, 0.00000418, 3, 0.00168240, 0.00000207, 1494, 1.66, 0.76
4, 0.00000873, 0.00000001, 35, 0.09, 0.00000873, 0.00000001, 8, 0.00000479, 0.00000001, 13, 1.00, 0.55
5, 0.00276769, 0.00001751, 100, 0.57, 0.00358504, 0.00000495, 1, 0.00081104, 0.00000210, 642, 1.30, 0.29
6, 0.00246239, 0.00000572, 94, 0.80, 0.00250379, 0.00000162, 2, 0.00117272, 0.00000157, 1048, 1.02, 0.48
7, 0.00191781, 0.00002764, 100, 0.46, 0.00199647, 0.00000246, 4, 0.00077143, 0.00000115, 597, 1.04, 0.40
8, 0.00000301, 0.00000004, 24, 0.07, 0.00000376, 0.00000001, 9, 0.00000361, 0.00000001, 25, 1.25, 1.20
9, 0.00000093, 0.00000001, 30, 0.07, 0.00000331, 0.00000001, 7, 0.00000330, 0.00000000, 25, 3.54, 3.54
10, 0.00000360, 0.00000003, 14, 0.04, 0.00000678, 0.00000000, 1, 0.00000678, 0.00000000, 1, 1.88, 1.88
11, 0.00439524, 0.00000188, 1, 0.48, 0.00439524, 0.00000188, 10, 0.00419662, 0.00000120, 2630, 1.00, 0.95
12, 0.00195632, 0.00000128, 1, 0.19, 0.00195632, 0.00000128, 2, 0.00156610, 0.00000054, 1051, 1.00, 0.80
13, 0.00007096, 0.00000513, 1, 0.08, 0.00007096, 0.00000513, 4, 0.00004314, 0.00000012, 54, 1.00, 0.61
14, 0.00000426, 0.00000004, 68, 0.11, 0.00000778, 0.00000001, 8, 0.00000746, 0.00000000, 47, 1.83, 1.75
TOP: 50
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000710, 0.00000034, 10, 0.02, 0.00000710, 0.00000034, 1, 0.00000710, 0.00000034, 1, 1.00, 1.00
1, 0.00082262, 0.00000928, 100, 0.48, 0.00085834, 0.00000180, 31, 0.00050548, 0.00000150, 389, 1.04, 0.61
2, 0.00000545, 0.00000002, 16, 0.03, 0.00000545, 0.00000002, 3, 0.00000545, 0.00000002, 3, 1.00, 1.00
3, 0.00221898, 0.00000818, 100, 0.59, 0.00367238, 0.00000418, 3, 0.00168240, 0.00000207, 1494, 1.65, 0.76
4, 0.00000479, 0.00000001, 24, 0.07, 0.00000479, 0.00000001, 13, 0.00000479, 0.00000001, 13, 1.00, 1.00
5, 0.00105259, 0.00001903, 84, 0.30, 0.00109443, 0.00000213, 12, 0.00081104, 0.00000210, 642, 1.04, 0.77
6, 0.00168156, 0.00003004, 100, 0.55, 0.00188263, 0.00000114, 50, 0.00117272, 0.00000157, 1048, 1.12, 0.70
