BENCH: alexnet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
0, 0.0000151323, 0.0000000463, 10, 0.107, 0.141, 0.0000151323, 0.0000000463, 1, 0.0000151323, 0.0000000463, 1, 0.034, 1.00, 1.00
1, 0.0014355307, 0.0000147829, 86, 0.573, 0.607, 0.0015589693, 0.0001262616, 1, 0.0014162572, 0.0000005777, 325, 11.013, 1.09, 0.99
2, 0.0000788893, 0.0000001054, 18, 0.264, 0.298, 0.0000843317, 0.0000042091, 1, 0.0000091877, 0.0000000409, 12, 0.407, 1.07, 0.12
3, 0.0151877478, 0.0000067598, 85, 1.083, 1.116, 0.0213742056, 0.0035679251, 1, 0.0041565026, 0.0000011512, 519, 17.587, 1.41, 0.27
4, 0.0000332792, 0.0000000606, 18, 0.156, 0.190, 0.0000464085, 0.0000000069, 1, 0.0000063767, 0.0000001992, 3, 0.102, 1.39, 0.19
5, 0.0025181098, 0.0000003083, 96, 0.750, 0.784, 0.0049643341, 0.0000014431, 1, 0.0021116461, 0.0000015046, 516, 17.486, 1.97, 0.84
6, 0.0058573257, 0.0000351206, 92, 0.763, 0.797, 0.0113126544, 0.0000027463, 1, 0.0028077748, 0.0000006094, 582, 19.722, 1.93, 0.48
7, 0.0023703132, 0.0000144929, 82, 0.709, 0.743, 0.0137941103, 0.0001960050, 1, 0.0018789960, 0.0000003107, 399, 13.521, 5.82, 0.79
8, 0.0000142232, 0.0000000906, 18, 0.157, 0.190, 0.0000144860, 0.0000000186, 1, 0.0000040360, 0.0000000079, 37, 1.254, 1.02, 0.28
9, 0.0000013153, 0.0000000339, 13, 0.134, 0.168, 0.0000030307, 0.0000000150, 1, 0.0000029390, 0.0000001096, 22, 0.746, 2.30, 2.23
10, 0.0000046082, 0.0000000847, 10, 0.075, 0.109, 0.0000067177, 0.0000000190, 1, 0.0000067177, 0.0000000190, 1, 0.034, 1.46, 1.46
11, 0.0095324885, 0.0000266261, 15, 0.216, 0.250, 0.0095324885, 0.0000266261, 1, 0.0094076319, 0.0000010529, 772, 26.161, 1.00, 0.99
12, 0.0040196545, 0.0000221798, 15, 0.143, 0.177, 0.0040196545, 0.0000221798, 1, 0.0039791487, 0.0000005070, 548, 18.570, 1.00, 0.99
13, 0.0006518583, 0.0000007396, 15, 0.099, 0.132, 0.0006518583, 0.0000007396, 1, 0.0006331773, 0.0000004001, 75, 2.542, 1.00, 0.97
14, 0.0000111605, 0.0000000628, 83, 0.745, 0.778, 0.0009076818, 0.0000337723, 1, 0.0000076999, 0.0000000495, 17, 0.576, 81.33, 0.69
TOP: 10
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-10 time(s), Meta-10 std(s), trials-10, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-10, speedup-10k
0, 0.0000151323, 0.0000000463, 10, 0.076, 0.110, 0.0000151323, 0.0000000463, 1, 0.0000151323, 0.0000000463, 1, 0.034, 1.00, 1.00
1, 0.0014337060, 0.0000128544, 58, 0.394, 0.733, 0.0015589693, 0.0001262616, 1, 0.0014162572, 0.0000005777, 325, 11.013, 1.09, 0.99
2, 0.0000134387, 0.0000001180, 28, 0.256, 0.595, 0.0000169911, 0.0000005086, 8, 0.0000091877, 0.0000000409, 12, 0.407, 1.26, 0.68
3, 0.0069552447, 0.0007357218, 54, 0.801, 1.140, 0.0137510567, 0.0011581337, 4, 0.0041565026, 0.0000011512, 519, 17.587, 1.98, 0.60
4, 0.0000063767, 0.0000001992, 10, 0.120, 0.222, 0.0000063767, 0.0000001992, 3, 0.0000063767, 0.0000001992, 3, 0.102, 1.00, 1.00
5, 0.0025139442, 0.0000094083, 86, 0.628, 0.967, 0.0049643341, 0.0000014431, 1, 0.0021116461, 0.0000015046, 516, 17.486, 1.97, 0.84
6, 0.0035146553, 0.0000019006, 93, 1.440, 1.779, 0.0055426330, 0.0000087275, 8, 0.0028077748, 0.0000006094, 582, 19.722, 1.58, 0.80
7, 0.0027097615, 0.0000201984, 100, 1.221, 1.560, 0.0061456223, 0.0000011227, 7, 0.0018789960, 0.0000003107, 399, 13.521, 2.27, 0.69
8, 0.0000077500, 0.0000001099, 53, 0.537, 0.876, 0.0000103485, 0.0000000134, 2, 0.0000040360, 0.0000000079, 37, 1.254, 1.34, 0.52
9, 0.0000011805, 0.0000000337, 13, 0.136, 0.475, 0.0000029446, 0.0000000323, 9, 0.0000029390, 0.0000001096, 22, 0.746, 2.49, 2.49
10, 0.0000046353, 0.0000000714, 10, 0.077, 0.111, 0.0000067177, 0.0000000190, 1, 0.0000067177, 0.0000000190, 1, 0.034, 1.45, 1.45
11, 0.0094724116, 0.0000022766, 15, 0.236, 0.575, 0.0094724116, 0.0000022766, 8, 0.0094076319, 0.0000010529, 772, 26.161, 1.00, 0.99
